label,family,kind,d,bf,tw,tf,fillet,b,t,ht,B,wall,od,radius
C9X13.4,C,UShape,9.0,2.43,0.233,0.413,0.587,,,,,,,
C8X18.75,C,UShape,8.0,2.53,0.487,0.39,0.548,,,,,,,
C8X13.75,C,UShape,8.0,2.34,0.303,0.39,0.548,,,,,,,
C8X11.5,C,UShape,8.0,2.26,0.22,0.39,0.548,,,,,,,
C7X14.75,C,UShape,7.0,2.3,0.419,0.366,0.509,,,,,,,
C7X12.25,C,UShape,7.0,2.19,0.314,0.366,0.509,,,,,,,
C7X9.8,C,UShape,7.0,2.09,0.21,0.366,0.509,,,,,,,
C6X13,C,UShape,6.0,2.16,0.437,0.343,0.47,,,,,,,
C6X10.5,C,UShape,6.0,2.03,0.314,0.343,0.47,,,,,,,
C6X8.2,C,UShape,6.0,1.92,0.2,0.343,0.47,,,,,,,
C5X9,C,UShape,5.0,1.89,0.325,0.32,0.43,,,,,,,
C5X6.7,C,UShape,5.0,1.75,0.19,0.32,0.43,,,,,,,
C4X7.25,C,UShape,4.0,1.72,0.321,0.296,0.454,,,,,,,
C4X6.25,C,UShape,4.0,1.65,0.247,0.296,0.454,,,,,,,
C4X5.4,C,UShape,4.0,1.58,0.184,0.296,0.454,,,,,,,
C4X4.5,C,UShape,4.0,1.52,0.125,0.296,0.454,,,,,,,
C3X6,C,UShape,3.0,1.6,0.356,0.273,0.415,,,,,,,
C3X5,C,UShape,3.0,1.5,0.258,0.273,0.415,,,,,,,
C3X4.1,C,UShape,3.0,1.41,0.17,0.273,0.415,,,,,,,
C3X3.5,C,UShape,3.0,1.37,0.132,0.273,0.415,,,,,,,
MC18X58,MC,UShape,18.0,4.2,0.7,0.625,0.815,,,,,,,
MC18X51.9,MC,UShape,18.0,4.1,0.6,0.625,0.815,,,,,,,
MC18X45.8,MC,UShape,18.0,4.0,0.5,0.625,0.815,,,,,,,
MC18X42.7,MC,UShape,18.0,3.95,0.45,0.625,0.815,,,,,,,
MC13X50,MC,UShape,13.0,4.41,0.787,0.61,0.83,,,,,,,
MC13X40,MC,UShape,13.0,4.19,0.56,0.61,0.83,,,,,,,
MC13X35,MC,UShape,13.0,4.07,0.447,0.61,0.83,,,,,,,
MC13X31.8,MC,UShape,13.0,4.0,0.375,0.61,0.83,,,,,,,
MC12X50,MC,UShape,12.0,4.14,0.835,0.7,0.61,,,,,,,
MC12X45,MC,UShape,12.0,4.01,0.71,0.7,0.61,,,,,,,
MC12X40,MC,UShape,12.0,3.89,0.59,0.7,0.61,,,,,,,
MC12X35,MC,UShape,12.0,3.77,0.465,0.7,0.61,,,,,,,
MC12X31,MC,UShape,12.0,3.67,0.37,0.7,0.61,,,,,,,
MC12X14.3,MC,UShape,12.0,2.12,0.25,0.313,0.437,,,,,,,
MC12X10.6,MC,UShape,12.0,1.5,0.19,0.309,0.441,,,,,,,
MC10X41.1,MC,UShape,10.0,4.32,0.796,0.575,0.735,,,,,,,
MC10X33.6,MC,UShape,10.0,4.1,0.575,0.575,0.735,,,,,,,
MC10X28.5,MC,UShape,10.0,3.95,0.425,0.575,0.735,,,,,,,
MC10X25,MC,UShape,10.0,3.41,0.38,0.575,0.735,,,,,,,
MC10X22,MC,UShape,10.0,3.32,0.29,0.575,0.735,,,,,,,
MC10X8.4,MC,UShape,10.0,1.5,0.17,0.28,0.47,,,,,,,
MC10X6.5,MC,UShape,10.0,1.17,0.152,0.202,0.361,,,,,,,
MC9X25.4,MC,UShape,9.0,3.5,0.45,0.55,0.7,,,,,,,
MC9X23.9,MC,UShape,9.0,3.45,0.4,0.55,0.7,,,,,,,
MC8X22.8,MC,UShape,8.0,3.5,0.427,0.525,0.665,,,,,,,
MC8X21.4,MC,UShape,8.0,3.45,0.375,0.525,0.665,,,,,,,
MC8X20,MC,UShape,8.0,3.03,0.4,0.5,0.63,,,,,,,
MC8X18.7,MC,UShape,8.0,2.98,0.353,0.5,0.63,,,,,,,
MC8X8.5,MC,UShape,8.0,1.87,0.179,0.311,0.502,,,,,,,
MC7X22.7,MC,UShape,7.0,3.6,0.503,0.5,0.63,,,,,,,
MC7X19.1,MC,UShape,7.0,3.45,0.352,0.5,0.63,,,,,,,
MC6X18,MC,UShape,6.0,3.5,0.379,0.475,0.585,,,,,,,
MC6X15.3,MC,UShape,6.0,3.5,0.34,0.385,0.49,,,,,,,
MC6X16.3,MC,UShape,6.0,3.0,0.375,0.475,0.585,,,,,,,
MC6X15.1,MC,UShape,6.0,2.94,0.316,0.475,0.585,,,,,,,
MC6X12,MC,UShape,6.0,2.5,0.31,0.375,0.5,,,,,,,
MC6X7,MC,UShape,6.0,1.88,0.179,0.291,0.459,,,,,,,
MC6X6.5,MC,UShape,6.0,1.85,0.155,0.291,0.459,,,,,,,
MC4X13.8,MC,UShape,4.0,2.5,0.5,0.5,0.5,,,,,,,
MC3X7.1,MC,UShape,3.0,1.94,0.312,0.351,0.462,,,,,,,
L12X12X1-3/8,L,LShape,12.0,,,,0.0,12.0,1.38,,,,,
L12X12X1-1/4,L,LShape,12.0,,,,0.0,12.0,1.25,,,,,
L12X12X1-1/8,L,LShape,12.0,,,,0.0,12.0,1.13,,,,,
L12X12X1,L,LShape,12.0,,,,0.0,12.0,1.0,,,,,
L10X10X1-3/8,L,LShape,10.0,,,,0.0,10.0,1.38,,,,,
L10X10X1-1/4,L,LShape,10.0,,,,0.0,10.0,1.25,,,,,
L10X10X1-1/8,L,LShape,10.0,,,,0.0,10.0,1.13,,,,,
L10X10X1,L,LShape,10.0,,,,0.0,10.0,1.0,,,,,
L10X10X7/8,L,LShape,10.0,,,,0.0,10.0,0.875,,,,,
L10X10X3/4,L,LShape,10.0,,,,0.0,10.0,0.75,,,,,
L8X8X1-1/8,L,LShape,8.0,,,,0.0,8.0,1.13,,,,,
L8X8X1,L,LShape,8.0,,,,0.0,8.0,1.0,,,,,
L8X8X7/8,L,LShape,8.0,,,,0.0,8.0,0.875,,,,,
L8X8X3/4,L,LShape,8.0,,,,0.0,8.0,0.75,,,,,
L8X8X5/8,L,LShape,8.0,,,,0.0,8.0,0.625,,,,,
L8X8X9/16,L,LShape,8.0,,,,0.0,8.0,0.563,,,,,
L8X8X1/2,L,LShape,8.0,,,,0.0,8.0,0.5,,,,,
L8X6X1,L,LShape,6.0,,,,0.0,8.0,1.0,,,,,
L8X6X7/8,L,LShape,6.0,,,,0.0,8.0,0.875,,,,,
L8X6X3/4,L,LShape,6.0,,,,0.0,8.0,0.75,,,,,
L8X6X5/8,L,LShape,6.0,,,,0.0,8.0,0.625,,,,,
L8X6X9/16,L,LShape,6.0,,,,0.0,8.0,0.563,,,,,
L8X6X1/2,L,LShape,6.0,,,,0.0,8.0,0.5,,,,,
L8X6X7/16,L,LShape,6.0,,,,0.0,8.0,0.438,,,,,
L8X4X1,L,LShape,4.0,,,,0.0,8.0,1.0,,,,,
L8X4X7/8,L,LShape,4.0,,,,0.0,8.0,0.875,,,,,
L8X4X3/4,L,LShape,4.0,,,,0.0,8.0,0.75,,,,,
L8X4X5/8,L,LShape,4.0,,,,0.0,8.0,0.625,,,,,
L8X4X9/16,L,LShape,4.0,,,,0.0,8.0,0.563,,,,,
L8X4X1/2,L,LShape,4.0,,,,0.0,8.0,0.5,,,,,
L8X4X7/16,L,LShape,4.0,,,,0.0,8.0,0.438,,,,,
L7X4X3/4,L,LShape,4.0,,,,0.0,7.0,0.75,,,,,
L7X4X5/8,L,LShape,4.0,,,,0.0,7.0,0.625,,,,,
L7X4X1/2,L,LShape,4.0,,,,0.0,7.0,0.5,,,,,
L7X4X7/16,L,LShape,4.0,,,,0.0,7.0,0.438,,,,,
L7X4X3/8,L,LShape,4.0,,,,0.0,7.0,0.375,,,,,
L6X6X1,L,LShape,6.0,,,,0.0,6.0,1.0,,,,,
L6X6X7/8,L,LShape,6.0,,,,0.0,6.0,0.875,,,,,
L6X6X3/4,L,LShape,6.0,,,,0.0,6.0,0.75,,,,,
L6X6X5/8,L,LShape,6.0,,,,0.0,6.0,0.625,,,,,
L6X6X9/16,L,LShape,6.0,,,,0.0,6.0,0.563,,,,,
L6X6X1/2,L,LShape,6.0,,,,0.0,6.0,0.5,,,,,
L6X6X7/16,L,LShape,6.0,,,,0.0,6.0,0.438,,,,,
L6X6X3/8,L,LShape,6.0,,,,0.0,6.0,0.375,,,,,
L6X6X5/16,L,LShape,6.0,,,,0.0,6.0,0.313,,,,,
L6X4X7/8,L,LShape,4.0,,,,0.0,6.0,0.875,,,,,
L6X4X3/4,L,LShape,4.0,,,,0.0,6.0,0.75,,,,,
L6X4X5/8,L,LShape,4.0,,,,0.0,6.0,0.625,,,,,
L6X4X9/16,L,LShape,4.0,,,,0.0,6.0,0.563,,,,,
L6X4X1/2,L,LShape,4.0,,,,0.0,6.0,0.5,,,,,
L6X4X7/16,L,LShape,4.0,,,,0.0,6.0,0.438,,,,,
L6X4X3/8,L,LShape,4.0,,,,0.0,6.0,0.375,,,,,
L6X4X5/16,L,LShape,4.0,,,,0.0,6.0,0.313,,,,,
L6X3-1/2X1/2,L,LShape,3.5,,,,0.0,6.0,0.5,,,,,
L6X3-1/2X3/8,L,LShape,3.5,,,,0.0,6.0,0.375,,,,,
L6X3-1/2X5/16,L,LShape,3.5,,,,0.0,6.0,0.313,,,,,
L5X5X7/8,L,LShape,5.0,,,,0.0,5.0,0.875,,,,,
L5X5X3/4,L,LShape,5.0,,,,0.0,5.0,0.75,,,,,
L5X5X5/8,L,LShape,5.0,,,,0.0,5.0,0.625,,,,,
L5X5X1/2,L,LShape,5.0,,,,0.0,5.0,0.5,,,,,
L5X5X7/16,L,LShape,5.0,,,,0.0,5.0,0.438,,,,,
L5X5X3/8,L,LShape,5.0,,,,0.0,5.0,0.375,,,,,
L5X5X5/16,L,LShape,5.0,,,,0.0,5.0,0.313,,,,,
L5X3-1/2X3/4,L,LShape,3.5,,,,0.0,5.0,0.75,,,,,
L5X3-1/2X5/8,L,LShape,3.5,,,,0.0,5.0,0.625,,,,,
L5X3-1/2X1/2,L,LShape,3.5,,,,0.0,5.0,0.5,,,,,
L5X3-1/2X3/8,L,LShape,3.5,,,,0.0,5.0,0.375,,,,,
L5X3-1/2X5/16,L,LShape,3.5,,,,0.0,5.0,0.313,,,,,
L5X3-1/2X1/4,L,LShape,3.5,,,,0.0,5.0,0.25,,,,,
L5X3X1/2,L,LShape,3.0,,,,0.0,5.0,0.5,,,,,
L5X3X7/16,L,LShape,3.0,,,,0.0,5.0,0.438,,,,,
L5X3X3/8,L,LShape,3.0,,,,0.0,5.0,0.375,,,,,
L5X3X5/16,L,LShape,3.0,,,,0.0,5.0,0.313,,,,,
L5X3X1/4,L,LShape,3.0,,,,0.0,5.0,0.25,,,,,
L4X4X3/4,L,LShape,4.0,,,,0.0,4.0,0.75,,,,,
L4X4X5/8,L,LShape,4.0,,,,0.0,4.0,0.625,,,,,
L4X4X1/2,L,LShape,4.0,,,,0.0,4.0,0.5,,,,,
L4X4X7/16,L,LShape,4.0,,,,0.0,4.0,0.438,,,,,
L4X4X3/8,L,LShape,4.0,,,,0.0,4.0,0.375,,,,,
L4X4X5/16,L,LShape,4.0,,,,0.0,4.0,0.313,,,,,
L4X4X1/4,L,LShape,4.0,,,,0.0,4.0,0.25,,,,,
L4X3-1/2X1/2,L,LShape,3.5,,,,0.0,4.0,0.5,,,,,
L4X3-1/2X3/8,L,LShape,3.5,,,,0.0,4.0,0.375,,,,,
L4X3-1/2X5/16,L,LShape,3.5,,,,0.0,4.0,0.313,,,,,
L4X3-1/2X1/4,L,LShape,3.5,,,,0.0,4.0,0.25,,,,,
L4X3X5/8,L,LShape,3.0,,,,0.0,4.0,0.625,,,,,
L4X3X1/2,L,LShape,3.0,,,,0.0,4.0,0.5,,,,,
L4X3X3/8,L,LShape,3.0,,,,0.0,4.0,0.375,,,,,
L4X3X5/16,L,LShape,3.0,,,,0.0,4.0,0.313,,,,,
L4X3X1/4,L,LShape,3.0,,,,0.0,4.0,0.25,,,,,
L3-1/2X3-1/2X1/2,L,LShape,3.5,,,,0.0,3.5,0.5,,,,,
L3-1/2X3-1/2X7/16,L,LShape,3.5,,,,0.0,3.5,0.438,,,,,
L3-1/2X3-1/2X3/8,L,LShape,3.5,,,,0.0,3.5,0.375,,,,,
L3-1/2X3-1/2X5/16,L,LShape,3.5,,,,0.0,3.5,0.313,,,,,
L3-1/2X3-1/2X1/4,L,LShape,3.5,,,,0.0,3.5,0.25,,,,,
L3-1/2X3X1/2,L,LShape,3.0,,,,0.0,3.5,0.5,,,,,
L3-1/2X3X7/16,L,LShape,3.0,,,,0.0,3.5,0.438,,,,,
L3-1/2X3X3/8,L,LShape,3.0,,,,0.0,3.5,0.375,,,,,
L3-1/2X3X5/16,L,LShape,3.0,,,,0.0,3.5,0.313,,,,,
L3-1/2X3X1/4,L,LShape,3.0,,,,0.0,3.5,0.25,,,,,
L3-1/2X2-1/2X1/2,L,LShape,2.5,,,,0.0,3.5,0.5,,,,,
L3-1/2X2-1/2X3/8,L,LShape,2.5,,,,0.0,3.5,0.375,,,,,
L3-1/2X2-1/2X5/16,L,LShape,2.5,,,,0.0,3.5,0.313,,,,,
L3-1/2X2-1/2X1/4,L,LShape,2.5,,,,0.0,3.5,0.25,,,,,
L3X3X1/2,L,LShape,3.0,,,,0.0,3.0,0.5,,,,,
L3X3X7/16,L,LShape,3.0,,,,0.0,3.0,0.438,,,,,
L3X3X3/8,L,LShape,3.0,,,,0.0,3.0,0.375,,,,,
L3X3X5/16,L,LShape,3.0,,,,0.0,3.0,0.313,,,,,
L3X3X1/4,L,LShape,3.0,,,,0.0,3.0,0.25,,,,,
L3X3X3/16,L,LShape,3.0,,,,0.0,3.0,0.188,,,,,
L3X2-1/2X1/2,L,LShape,2.5,,,,0.0,3.0,0.5,,,,,
L3X2-1/2X7/16,L,LShape,2.5,,,,0.0,3.0,0.438,,,,,
L3X2-1/2X3/8,L,LShape,2.5,,,,0.0,3.0,0.375,,,,,
L3X2-1/2X5/16,L,LShape,2.5,,,,0.0,3.0,0.313,,,,,
L3X2-1/2X1/4,L,LShape,2.5,,,,0.0,3.0,0.25,,,,,
L3X2-1/2X3/16,L,LShape,2.5,,,,0.0,3.0,0.188,,,,,
L3X2X1/2,L,LShape,2.0,,,,0.0,3.0,0.5,,,,,
L3X2X3/8,L,LShape,2.0,,,,0.0,3.0,0.375,,,,,
L3X2X5/16,L,LShape,2.0,,,,0.0,3.0,0.313,,,,,
L3X2X1/4,L,LShape,2.0,,,,0.0,3.0,0.25,,,,,
L3X2X3/16,L,LShape,2.0,,,,0.0,3.0,0.188,,,,,
L2-1/2X2-1/2X1/2,L,LShape,2.5,,,,0.0,2.5,0.5,,,,,
L2-1/2X2-1/2X3/8,L,LShape,2.5,,,,0.0,2.5,0.375,,,,,
L2-1/2X2-1/2X5/16,L,LShape,2.5,,,,0.0,2.5,0.313,,,,,
L2-1/2X2-1/2X1/4,L,LShape,2.5,,,,0.0,2.5,0.25,,,,,
L2-1/2X2-1/2X3/16,L,LShape,2.5,,,,0.0,2.5,0.188,,,,,
L2-1/2X2X3/8,L,LShape,2.0,,,,0.0,2.5,0.375,,,,,
L2-1/2X2X5/16,L,LShape,2.0,,,,0.0,2.5,0.313,,,,,
L2-1/2X2X1/4,L,LShape,2.0,,,,0.0,2.5,0.25,,,,,
L2-1/2X2X3/16,L,LShape,2.0,,,,0.0,2.5,0.188,,,,,
L2-1/2X1-1/2X1/4,L,LShape,1.5,,,,0.0,2.5,0.25,,,,,
L2-1/2X1-1/2X3/16,L,LShape,1.5,,,,0.0,2.5,0.188,,,,,
L2X2X3/8,L,LShape,2.0,,,,0.0,2.0,0.375,,,,,
L2X2X5/16,L,LShape,2.0,,,,0.0,2.0,0.313,,,,,
L2X2X1/4,L,LShape,2.0,,,,0.0,2.0,0.25,,,,,
L2X2X3/16,L,LShape,2.0,,,,0.0,2.0,0.188,,,,,
L2X2X1/8,L,LShape,2.0,,,,0.0,2.0,0.125,,,,,
WT22X167.5,WT,TShape,22.0,15.9,1.03,1.77,0.79,,,,,,,
WT22X145,WT,TShape,21.8,15.8,0.865,1.58,0.78,,,,,,,
WT22X131,WT,TShape,21.7,15.8,0.785,1.42,0.78,,,,,,,
WT22X115,WT,TShape,21.5,15.8,0.71,1.22,0.79,,,,,,,
WT20X327.5,WT,TShape,21.8,16.9,1.97,3.54,1.18,,,,,,,
WT20X296.5,WT,TShape,21.5,16.7,1.79,3.23,1.18,,,,,,,
WT20X251.5,WT,TShape,21.0,16.4,1.54,2.76,1.18,,,,,,,
WT20X215.5,WT,TShape,20.6,16.2,1.34,2.36,1.18,,,,,,,
WT20X198.5,WT,TShape,20.5,16.1,1.22,2.2,1.18,,,,,,,
WT20X186,WT,TShape,20.3,16.1,1.16,2.05,1.18,,,,,,,
WT20X181,WT,TShape,20.3,16.0,1.12,2.01,1.18,,,,,,,
WT20X162,WT,TShape,20.1,15.9,1.0,1.81,1.18,,,,,,,
WT20X148.5,WT,TShape,19.9,15.8,0.93,1.65,1.18,,,,,,,
WT20X138.5,WT,TShape,19.8,15.8,0.83,1.58,1.18,,,,,,,
WT20X124.5,WT,TShape,19.7,15.8,0.75,1.42,1.18,,,,,,,
WT20X107.5,WT,TShape,19.5,15.8,0.65,1.22,1.18,,,,,,,
WT20X99.5,WT,TShape,19.3,15.8,0.65,1.07,1.18,,,,,,,
WT20X196,WT,TShape,20.8,12.4,1.42,2.52,1.18,,,,,,,
WT20X165.5,WT,TShape,20.4,12.2,1.22,2.13,1.18,,,,,,,
WT20X163.5,WT,TShape,20.4,12.1,1.18,2.13,1.18,,,,,,,
WT20X147,WT,TShape,20.2,12.0,1.06,1.93,1.18,,,,,,,
WT20X139,WT,TShape,20.1,12.0,1.03,1.81,1.18,,,,,,,
WT20X132,WT,TShape,20.0,11.9,0.96,1.73,1.18,,,,,,,
WT20X117.5,WT,TShape,19.8,11.9,0.83,1.58,1.18,,,,,,,
WT20X105.5,WT,TShape,19.7,11.8,0.75,1.42,1.18,,,,,,,
WT20X91.5,WT,TShape,19.5,11.8,0.65,1.2,1.18,,,,,,,
WT20X83.5,WT,TShape,19.3,11.8,0.65,1.03,1.18,,,,,,,
WT20X74.5,WT,TShape,19.1,11.8,0.63,0.83,1.18,,,,,,,
WT18X462.5,WT,TShape,21.6,18.6,3.02,4.53,0.75,,,,,,,
WT18X426.5,WT,TShape,21.6,18.2,2.52,4.53,0.75,,,,,,,
WT18X401,WT,TShape,21.3,18.0,2.38,4.29,0.75,,,,,,,
WT18X361.5,WT,TShape,20.9,17.8,2.17,3.9,0.75,,,,,,,
WT18X326,WT,TShape,20.5,17.6,1.97,3.54,0.95,,,,,,,
WT18X264.5,WT,TShape,19.9,17.2,1.61,2.91,0.95,,,,,,,
WT18X243.5,WT,TShape,19.7,17.1,1.5,2.68,0.95,,,,,,,
WT18X220.5,WT,TShape,19.4,17.0,1.36,2.44,0.95,,,,,,,
WT18X197.5,WT,TShape,19.2,16.8,1.22,2.2,0.95,,,,,,,
WT18X180.5,WT,TShape,19.0,16.7,1.12,2.01,0.95,,,,,,,
WT18X165,WT,TShape,18.8,16.6,1.02,1.85,0.95,,,,,,,
WT18X151,WT,TShape,18.7,16.7,0.945,1.68,0.95,,,,,,,
WT18X141,WT,TShape,18.6,16.6,0.885,1.57,0.95,,,,,,,
WT18X131,WT,TShape,18.4,16.6,0.84,1.44,0.95,,,,,,,
WT18X123.5,WT,TShape,18.3,16.5,0.8,1.35,0.95,,,,,,,
WT18X115.5,WT,TShape,18.2,16.5,0.76,1.26,0.95,,,,,,,
WT18X128,WT,TShape,18.7,12.2,0.96,1.73,0.75,,,,,,,
WT18X116,WT,TShape,18.6,12.1,0.87,1.57,0.75,,,,,,,
WT18X105,WT,TShape,18.3,12.2,0.83,1.36,0.75,,,,,,,
WT18X97,WT,TShape,18.2,12.1,0.765,1.26,0.75,,,,,,,
WT18X91,WT,TShape,18.2,12.1,0.725,1.18,0.75,,,,,,,
WT18X85,WT,TShape,18.1,12.0,0.68,1.1,0.75,,,,,,,
WT18X80,WT,TShape,18.0,12.0,0.65,1.02,0.75,,,,,,,
WT18X75,WT,TShape,17.9,12.0,0.625,0.94,0.75,,,,,,,
WT18X67.5,WT,TShape,17.8,12.0,0.6,0.79,0.75,,,,,,,
WT16.5X193.5,WT,TShape,18.0,16.2,1.26,2.28,0.79,,,,,,,
WT16.5X177,WT,TShape,17.8,16.1,1.16,2.09,0.79,,,,,,,
WT16.5X159,WT,TShape,17.6,16.0,1.04,1.89,0.79,,,,,,,
WT16.5X145.5,WT,TShape,17.4,15.9,0.96,1.73,0.79,,,,,,,
WT16.5X131.5,WT,TShape,17.3,15.8,0.87,1.57,0.79,,,,,,,
WT16.5X120.5,WT,TShape,17.1,15.9,0.83,1.4,0.79,,,,,,,
WT16.5X110.5,WT,TShape,17.0,15.8,0.775,1.28,0.78,,,,,,,
WT16.5X100.5,WT,TShape,16.8,15.7,0.715,1.15,0.79,,,,,,,
WT16.5X84.5,WT,TShape,16.9,11.5,0.67,1.22,0.7,,,,,,,
WT16.5X76,WT,TShape,16.7,11.6,0.635,1.06,0.7,,,,,,,
WT16.5X70.5,WT,TShape,16.7,11.5,0.605,0.96,0.7,,,,,,,
WT16.5X65,WT,TShape,16.5,11.5,0.58,0.855,0.705,,,,,,,
WT16.5X59,WT,TShape,16.4,11.5,0.55,0.74,0.7,,,,,,,
WT15X195.5,WT,TShape,16.6,15.6,1.36,2.44,0.79,,,,,,,
WT15X178.5,WT,TShape,16.4,15.5,1.24,2.24,0.79,,,,,,,
WT15X163,WT,TShape,16.2,15.4,1.14,2.05,0.79,,,,,,,
WT15X146,WT,TShape,16.0,15.3,1.02,1.85,0.79,,,,,,,
WT15X130.5,WT,TShape,15.8,15.2,0.93,1.65,0.79,,,,,,,
WT15X117.5,WT,TShape,15.7,15.1,0.83,1.5,0.79,,,,,,,
WT15X105.5,WT,TShape,15.5,15.1,0.775,1.32,0.78,,,,,,,
WT15X95.5,WT,TShape,15.3,15.0,0.71,1.19,0.78,,,,,,,
WT15X86.5,WT,TShape,15.2,15.0,0.655,1.07,0.78,,,,,,,
WT15X74,WT,TShape,15.3,10.5,0.65,1.18,0.65,,,,,,,
WT15X66,WT,TShape,15.2,10.5,0.615,1.0,0.65,,,,,,,
WT15X62,WT,TShape,15.1,10.5,0.585,0.93,0.65,,,,,,,
WT15X58,WT,TShape,15.0,10.5,0.565,0.85,0.65,,,,,,,
WT15X54,WT,TShape,14.9,10.5,0.545,0.76,0.65,,,,,,,
WT15X49.5,WT,TShape,14.8,10.5,0.52,0.67,0.65,,,,,,,
WT15X45,WT,TShape,14.8,10.4,0.47,0.61,0.65,,,,,,,
WT13.5X269.5,WT,TShape,16.3,15.3,1.97,3.54,0.79,,,,,,,
WT13.5X184,WT,TShape,15.2,14.7,1.38,2.48,0.79,,,,,,,
WT13.5X168,WT,TShape,15.0,14.6,1.26,2.28,0.79,,,,,,,
WT13.5X153.5,WT,TShape,14.8,14.4,1.16,2.09,0.79,,,,,,,
WT13.5X140.5,WT,TShape,14.6,14.4,1.06,1.93,0.79,,,,,,,
WT13.5X129,WT,TShape,14.5,14.3,0.98,1.77,0.79,,,,,,,
WT13.5X117.5,WT,TShape,14.3,14.2,0.91,1.61,0.79,,,,,,,
WT13.5X108.5,WT,TShape,14.2,14.1,0.83,1.5,0.79,,,,,,,
WT13.5X97,WT,TShape,14.1,14.0,0.75,1.34,0.79,,,,,,,
WT13.5X89,WT,TShape,13.9,14.1,0.725,1.19,0.79,,,,,,,
WT13.5X80.5,WT,TShape,13.8,14.0,0.66,1.08,0.79,,,,,,,
WT13.5X73,WT,TShape,13.7,14.0,0.605,0.975,0.785,,,,,,,
WT13.5X64.5,WT,TShape,13.8,10.0,0.61,1.1,0.6,,,,,,,
WT13.5X57,WT,TShape,13.6,10.1,0.57,0.93,0.6,,,,,,,
WT13.5X51,WT,TShape,13.5,10.0,0.515,0.83,0.6,,,,,,,
WT13.5X47,WT,TShape,13.5,10.0,0.49,0.745,0.595,,,,,,,
WT13.5X42,WT,TShape,13.4,10.0,0.46,0.64,0.6,,,,,,,
WT12X185,WT,TShape,14.0,13.7,1.52,2.72,0.5,,,,,,,
WT12X167.5,WT,TShape,13.8,13.5,1.38,2.48,0.5,,,,,,,
WT12X153,WT,TShape,13.6,13.4,1.26,2.28,0.5,,,,,,,
WT12X139.5,WT,TShape,13.4,13.3,1.16,2.09,0.5,,,,,,,
WT12X125,WT,TShape,13.2,13.2,1.04,1.89,0.5,,,,,,,
WT12X114.5,WT,TShape,13.0,13.1,0.96,1.73,0.5,,,,,,,
WT12X103.5,WT,TShape,12.9,13.0,0.87,1.57,0.5,,,,,,,
WT12X96,WT,TShape,12.7,13.0,0.81,1.46,0.5,,,,,,,
WT12X88,WT,TShape,12.6,12.9,0.75,1.34,0.5,,,,,,,
WT12X81,WT,TShape,12.5,13.0,0.705,1.22,0.5,,,,,,,
WT12X73,WT,TShape,12.4,12.9,0.65,1.09,0.5,,,,,,,
WT12X65.5,WT,TShape,12.2,12.9,0.605,0.96,0.5,,,,,,,
WT12X58.5,WT,TShape,12.1,12.8,0.55,0.85,0.5,,,,,,,
WT12X52,WT,TShape,12.0,12.8,0.5,0.75,0.5,,,,,,,
WT12X51.5,WT,TShape,12.3,9.0,0.55,0.98,0.5,,,,,,,
WT12X47,WT,TShape,12.2,9.07,0.515,0.875,0.505,,,,,,,
WT12X42,WT,TShape,12.1,9.02,0.47,0.77,0.5,,,,,,,
WT12X38,WT,TShape,12.0,8.99,0.44,0.68,0.5,,,,,,,
WT12X34,WT,TShape,11.9,8.97,0.415,0.585,0.505,,,,,,,
WT12X31,WT,TShape,11.9,7.04,0.43,0.59,0.5,,,,,,,
WT12X27.5,WT,TShape,11.8,7.01,0.395,0.505,0.505,,,,,,,
WT10.5X137.5,WT,TShape,12.1,12.9,1.22,2.19,1.18,,,,,,,
WT10.5X124,WT,TShape,11.9,12.8,1.1,1.99,1.18,,,,,,,
WT10.5X111.5,WT,TShape,11.7,12.7,1.0,1.79,1.18,,,,,,,
WT10.5X100.5,WT,TShape,11.5,12.6,0.91,1.63,0.5,,,,,,,
WT10.5X91,WT,TShape,11.4,12.5,0.83,1.48,0.5,,,,,,,
WT10.5X83,WT,TShape,11.2,12.4,0.75,1.36,0.5,,,,,,,
WT10.5X73.5,WT,TShape,11.0,12.5,0.72,1.15,0.5,,,,,,,
WT10.5X66,WT,TShape,10.9,12.4,0.65,1.04,0.5,,,,,,,
WT10.5X61,WT,TShape,10.8,12.4,0.6,0.96,0.5,,,,,,,
WT10.5X55.5,WT,TShape,10.8,12.3,0.55,0.875,0.505,,,,,,,
WT10.5X50.5,WT,TShape,10.7,12.3,0.5,0.8,0.5,,,,,,,
WT10.5X46.5,WT,TShape,10.8,8.42,0.58,0.93,0.5,,,,,,,
WT10.5X41.5,WT,TShape,10.7,8.36,0.515,0.835,0.505,,,,,,,
WT10.5X36.5,WT,TShape,10.6,8.3,0.455,0.74,0.5,,,,,,,
WT10.5X34,WT,TShape,10.6,8.27,0.43,0.685,0.505,,,,,,,
WT10.5X31,WT,TShape,10.5,8.24,0.4,0.615,0.505,,,,,,,
WT10.5X27.5,WT,TShape,10.4,8.22,0.375,0.522,0.498,,,,,,,
WT10.5X24,WT,TShape,10.3,8.14,0.35,0.43,0.5,,,,,,,
WT10.5X28.5,WT,TShape,10.5,6.56,0.405,0.65,0.5,,,,,,,
WT10.5X25,WT,TShape,10.4,6.53,0.38,0.535,0.505,,,,,,,
WT10.5X22,WT,TShape,10.3,6.5,0.35,0.45,0.5,,,,,,,
WT9X155.5,WT,TShape,11.2,12.0,1.52,2.74,0.5,,,,,,,
